Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
يقولون الاولين,3,5.0,0.00905,Walid Al-Anazi,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/e/7/6/1e761c6ed4a5cad1a91dce3300843b80c41fba37_643542.jpg",1
صفحة واحدة في المرة رفيق مبدع يومي,3,4.5,0.00459,Adam J. Kertz.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/462372.jpg",0
أبجدية القتلى,2,5.0,0.00136,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/a/7/d/6/a7d6aa26eb0ef4a23f16e19494ebc67ac02ab888_296949.jpg",1
أرنوب,0,5.0,0.00012,Unknown,كتاب فلين,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420749.jpg",1
2.0 الذكاء العاطفي,3,5.0,0.00012,Jane Griffs/ Travis Bradbury.,غلاف مقوى,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/4/5/e/f/45ef6f2ecc8eb58f278abe45945a6f6503e2fc75_357821.jpg",1
الكلمات مكتبتي التعليمية الاولى,1,5.0,0.00012,My first education library.,كتاب مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/5/358318.jpg",1
الالوان مكتبتي التعليمية الاولى,1,5.0,0.00012,My first education library.,كتاب مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/3/1/a/e31a36a47784a6dcc8e07e56bfc9685940562bdd_358321.jpg",1
كيف تكسب الاصدقاء وتؤثر في الناس في العصر الرقمي,4,5.0,0.00012,Del Carnegie and his associates.,غلاف مقوى,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/392553.jpeg",1
الجريمة والعقاب,1,5.0,0.00012,Viodor Dustowski,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/f/c/a/8fca81e6901b249c5c41033cfa246a50986c547e_589557.jpg",1
كتابي الاول المصور الحروف الاشكال والالوان الارقام,1,5.0,0.00012,Unknown,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/8/5/b/185b25e758673b74918ea58b6e7e49ffae339edb_585857.jpg",1
الكتاب الكبير للانشطة الرائعة,3,5.0,0.00012,Unknown,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/d/4/e/9d4e7d7b1c49f7adf15fcc8434ecd3cbdf2ea753_586093.jpg",1
أساطير العالم بايجاز,2,5.0,0.00012,Mark Daniels.,Paperback,History & Culture,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/5/7/6/0576fb396180de1f525f78446650084369871981_594705.jpg",1
العيون الفضية خمس ليال في مطعم فريدي رواية مصورة,3,5.0,0.00012,Scott Booth.,Paperback,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/a/5/d/da5d9f761120ffa32fa27f34e43ebddef056f247_613512.jpg",1
لا تهتم بصغائر الامور فكل الامور صغائر,2,5.0,0.00112,Richard Carlson.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/a/e/3/4/ae34a63bf15496740fa9cd94dc04f726a2a43a29_121802.jpg",1
الاب الغني الاب الفقير مع تحديثات من أجل عالم اليوم,4,5.0,0.00012,Robert T. Kiusaki,Paperback,Business & Finance,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/6/f/3/e6f368210f5b51045032371a774932eecde42d29_608932.jpg",1
كتاب الفلسفة,4,5.0,0.00012,A series of big ideas is simply explained.,غلاف مقوى,Politics & Social Sciences,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/c/1/c/9/c1c91c6acafc6aaa0ba56610b6bfa690fcdb97e0_561985.jpg",0
المتميز في مقياس موهبة 9-10 الطبعة الخامسة,4,5.0,0.00012,Ibrahim Qashir,Paperback,Education & Reference,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/2/c/0/22c02b48171d7082bb8f15641e2d78df1b415af5_638421.jpg",1
لا تصدق كل ما تفكر فيه لماذا يعد تفكيرك بدايه و نهاية المعاناة,1,5.0,0.00012,Joseph Niwin.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/4/5/6/845682015a05076368665e197f34f5118875f4b5_620681.jpg",1
أميرات ديزني كتاب المتعة الكبير,2,5.0,0.00012,Greer's library.,Paperback,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/493453.jpg",1
سيكولوجية البيع زد من مبيعاتك أسرع وأسهل مما كنت تعتقد من قبل,2,5.0,0.00012,Brian Tracy.,Paperback,Business & Finance,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/494140.jpg",1
كتاب الانشطة الكبير للبنات,3,5.0,0.00012,Greer's library.,Paperback,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/503728.jpg",1
